,actor1,actor2,admin1,admin2,admin3,assoc_actor_1,assoc_actor_2,country,data_id,event_date,event_id_cnty,event_id_no_cnty,event_type,fatalities,geo_precision,inter1,inter2,interaction,iso,iso3,latitude,location,longitude,notes,region,source,source_scale,sub_event_type,time_precision,timestamp,year
424,YPG: Peoples Protection Units,Military Forces of Turkey (2016-),Aleppo,Afrin,Raju,HXP: Self-defense Forces,Opposition Rebels (Syria); Islamist Militia (Syria),Syria,5865625,2018-02-11,SYR21406,21406,Battles,0,1,2,8,28,760,SYR,36.6186,Qude,36.6422,"YPG and HXP fighters clashed against the Turkish army and the rebel and Islamic factions in Qude village in the northern countryside of Aleppo, neither injuries nor fatalities reported.",Middle East,SOHR,Other,Armed clash,1,1567462277,2018
425,YPG: Peoples Protection Units,Military Forces of Turkey (2016-),Aleppo,Afrin,Jandairis,HXP: Self-defense Forces,Operation Olive Branch; Opposition Rebels (Syria); Islamist Militia (Syria),Syria,6038990,2018-02-11,SYR21378,21378,Battles,0,1,2,8,28,760,SYR,36.3767,Hajj Iskandar,36.6390,"YPG and HXP fighters clashed against the Turkish army and the rebel and Islamic Olive Branch factions in Hajj Iskandar village in the northern countryside of Aleppo, amid shelling by the Turkish army on the village. Olive branch forces took control of teh village. Neither injuries nor fatalities reported.",Middle East,Liveuamap; SOHR,Local partner-New media,Non-state actor overtakes territory,1,1571164390,2018
426,Operation Olive Branch,YPG: Peoples Protection Units,Aleppo,Afrin,Raju,Opposition Rebels (Syria); Islamist Militia (Syria),,Syria,6081643,2018-02-11,SYR21407,21407,Battles,0,2,2,2,22,760,SYR,36.6770,Raju,36.6645,The rebel and Islamic factions of the Olive Branch operation controlled Saranjik village near Raju town in the northern countryside of Aleppo after clashes with YPG.,Middle East,Liveuamap,Local partner-New media,Non-state actor overtakes territory,1,1571164584,2018
427,Operation Olive Branch,YPG: Peoples Protection Units,Aleppo,Afrin,Jandairis,Opposition Rebels (Syria); Islamist Militia (Syria),,Syria,6081766,2018-02-11,SYR21414,21414,Battles,0,1,2,2,22,760,SYR,36.3819,Taladil,36.6253,The rebel and Islamic factions of the Olive Branch operation controlled Taladil village in the northern countryside of Aleppo after clashes with YPG.,Middle East,Liveuamap,Local partner-New media,Non-state actor overtakes territory,1,1571164584,2018
428,YPG: Peoples Protection Units,Military Forces of Turkey (2016-),Aleppo,Afrin,Bulbul,HXP: Self-defense Forces,Opposition Rebels (Syria); Islamist Militia (Syria),Syria,5856299,2018-02-11,SYR21410,21410,Battles,0,1,2,8,28,760,SYR,36.7335,Sheikh Khoraz,36.8891,"YPG and HXP fighters clashed against the Turkish army and the rebel and Islamic factions in Sheikh Khoraz village in the northern countryside of Aleppo, neither injuries nor fatalities reported.",Middle East,SOHR,Other,Armed clash,1,1567462265,2018
429,YPG: Peoples Protection Units,Military Forces of Turkey (2016-),Aleppo,Afrin,Afrin,HXP: Self-defense Forces,Opposition Rebels (Syria); Islamist Militia (Syria),Syria,5856301,2018-02-11,SYR21343,21343,Battles,0,2,2,8,28,760,SYR,36.5111,Afrin,36.8655,"YPG and HXP fighters clashed against the Turkish army and the rebel and Islamic factions in the north eastern countryside of Afrin in the northern countryside of Aleppo, in conjunction with air strikes by the Turkish warplanes on the areas of clashes, neither injuries nor fatalities reported.",Middle East,SOHR,Other,Armed clash,1,1567462265,2018
430,Operation Olive Branch,YPG: Peoples Protection Units,Aleppo,Afrin,Sharan,Opposition Rebels (Syria); Islamist Militia (Syria); Military Forces of Turkey (2016-),,Syria,6038983,2018-02-11,SYR21352,21352,Battles,1,1,2,2,22,760,SYR,36.6776,Arab Wiran,36.9946,"The factions of the Olive Branch operation controlled Arab Wiran village in the northern countryside of Aleppo after clashes with YPG, in which the clashes were accompanied by airstrikes by the Turkish jets and Turkish shelling on the village. It was reported that 1 civilian was killed by the Turkish fixed-wing aircraft bombing.",Middle East,Liveuamap; SOHR; SNHR,Local partner-Other,Non-state actor overtakes territory,1,1571164390,2018
431,YPG: Peoples Protection Units,Military Forces of Turkey (2016-),Aleppo,Afrin,Jandairis,HXP: Self-defense Forces,Opposition Rebels (Syria); Islamist Militia (Syria),Syria,6038962,2018-02-10,SYR21293,21293,Battles,2,1,2,8,28,760,SYR,36.3397,Deir Ballut,36.6649,"YPG and HXP fighters clashed against the Turkish army and the rebel and Islamic Olive bRanch factions in Qude, Hamam, Deir Ballut, Sheikh Khoraz in Afrin district in the northern countryside of Aleppo in conjunction with a Turkish shelling on the areas of clashes. Olive Branch forces took conttol of Deir Ballut. Casualties from both sides were reported including 2 pilots who were on the Turkish helicopter which was shot down in Qude. Unknown number of fatalities coded as 10. Distributed fatalities over the activities in Qude, Hamam, Deir Ballut, Sheikh Khoraz",Middle East,Liveuamap; SOHR,Local partner-New media,Non-state actor overtakes territory,1,1571164390,2018
432,YPG: Peoples Protection Units,Military Forces of Turkey (2016-),Aleppo,Afrin,Jandairis,HXP: Self-defense Forces,Opposition Rebels (Syria); Islamist Militia (Syria),Syria,5864959,2018-02-10,SYR21302,21302,Battles,2,1,2,8,28,760,SYR,36.3675,Qushla,36.6067,"YPG and HXP fighters clashed against the Turkish army and the rebel and Islamic factions in Qude, Hamam, Deir Ballut, Sheikh Khoraz in Afrin district in the northern countryside of Aleppo in conjunction with a Turkish shelling on the areas of clashes, casualties from both sides were reported including 2 pilots who were on the Turkish helicopter which was shot down in Qude. Unknown number of fatalities coded as 10. Distributed fatalities over the activities in Qude, Hamam, Deir Ballut, Sheikh Khoraz",Middle East,SOHR,Other,Armed clash,1,1567462276,2018
433,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,Afrin,Raju,,,Syria,6077533,2018-02-10,SYR21324,21324,Battles,0,2,8,2,28,760,SYR,36.6906,Masikan,36.6558,"The Turkish army clashed with YPG in Qude village near Masikan village in Afrin district in Aleppo northern countryside, no casualties were reported.",Middle East,Liveuamap,Local partner-New media,Armed clash,1,1571164571,2018
