,data_id,event_date,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,admin1,admin2,admin3,location,latitude,longitude,source,notes,fatalities,timestamp
65,6081252,2019-05-04,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,YPG: Peoples Protection Units,,Aleppo,A'zaz,Tall Refaat,Sheikh Isa,36.4793,37.1467,Liveuamap,"On 4 May 2019, Turkish forces shelled YPG positions in the town of Sheikh Isa with neither injuries nor fatalities reported.",0,1571164583
66,5673235,2019-05-03,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),Islamist Militia (Syria),YPG: Peoples Protection Units,,Aleppo,A'zaz,Tall Refaat,Tall Refaat,36.4726,37.0941,SOHR,"On 3 May 2019, Turkish forces and their Islamist faction allies shelled YPG positions in northern Aleppo province with neither injuries nor fatalities reported.",0,1564753635
67,5673306,2019-05-02,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,YPG: Peoples Protection Units,,Aleppo,Al Bab,Al Bab,Tal Jijin,36.4108,37.3411,SOHR,"On 2 May 2019, Turkish forces shelled YPG positions in the Tal Jijin area with neither injuries nor fatalities reported.",0,1564753635
68,6081623,2019-05-02,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,YPG: Peoples Protection Units,,Aleppo,A'zaz,Tall Refaat,Tall Refaat,36.4726,37.0941,Liveuamap,"On 2 May 2019, Turkish forces shelled YPG positions in the Tall Refaat area with neither injuries nor fatalities reported.",0,1571164584
69,5673307,2019-05-02,Explosions/Remote violence,Shelling/artillery/missile attack,YPG: Peoples Protection Units,,Military Forces of Turkey (2016-),,Aleppo,A'zaz,A'zaz,Kaljibrin,36.5361,37.1175,SOHR,"On 2 May 2019, YPG fighters shelled Turkish forces in the Kaljibrin area with neither injuries nor fatalities reported.",0,1564753635
70,6077097,2019-05-01,Explosions/Remote violence,Shelling/artillery/missile attack,YPG: Peoples Protection Units,,Military Forces of Turkey (2016-),,Aleppo,A'zaz,A'zaz,Maraanaz,36.5511,37.0187,Liveuamap,"On 1 May, 2019, YPG targeted 2 Turkish armored personnel carriers near Maraanaz in northern Aleppo countryside using ATGMs. Fatalities were reported. Unknown fatalities coded as 10.",10,1571164571
71,6080181,2019-04-28,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,YPG: Peoples Protection Units,,Ar-Raqqa,Tell Abiad,Tell Abiad,Tell Abiad,36.6978,38.9548,Liveuamap,"On 28 April 2019, Turkish forces targeted a YPG convoy west of Tell Abiad in Ar-Raqqa. Neither injuries nor fatalities were reported.",0,1571164582
72,6046089,2019-04-19,Explosions/Remote violence,Shelling/artillery/missile attack,YPG: Peoples Protection Units,,Military Forces of Turkey (2016-),,Aleppo,Afrin,Afrin,Mreimin Afrin,36.5304,36.9496,SOHR; Liveuamap,"On 19 April, 2019, YPG targeted a Turkish tank in near Mreimin Afrin in northern Aleppo countryside using an ATGM, killing and wounding several Turkish soldiers. Unknown fatalities coded as 10.",10,1571164399
73,6076012,2019-04-15,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,YPG: Peoples Protection Units,,Aleppo,A'zaz,Tall Refaat,Tall Refaat,36.4726,37.0941,Liveuamap,"On 15 April 2019, Turkish forces shelled YPG positions in the Tall Refaat area with neither injuries nor fatalities reported.",0,1571164569
74,6076254,2019-04-15,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,YPG: Peoples Protection Units,,Aleppo,A'zaz,A'zaz,Kafr Kalbein,36.5554,37.0886,Liveuamap,"On 15 April 2019, Turkish forces shelled YPG positions in the village of Kafr Kalbein with neither injuries nor fatalities reported.",0,1571164570
75,6075239,2019-04-11,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,YPG: Peoples Protection Units,,Aleppo,A'zaz,Tall Refaat,Tall Refaat,36.4726,37.0941,Liveuamap,"On 11 April 2019, Turkish military forces shelled YPG fighters in the vicinity of the town of Tall Refaat with neither injuries nor fatalities reported.",0,1571164568
76,5674933,2019-03-25,Battles,Armed clash,YPG: Peoples Protection Units,,YPG: Peoples Protection Units,,Al-Hasakeh,Ras Al Ain,Ras Al Ain,Alia,36.6108,40.1045,SHAM,"On March 25, 2019, a Kurdish YPG fighter shot and killed 2 Arabic fighters of the same group near Alia camp in Ras Al Ain countryside, claiming they had disrespected a deceased Kurdish YPG fighter.",2,1564753637
